tratamento,bloco,local,tempo_dias,repeticao,umidade_rel,temp_media,severidade,produtividade
controle,bloco_3,local_3,60,1,79.7,24.5,87.67,3263.3
controle,bloco_3,local_3,60,2,88.9,23.5,44.75,3267.9
controle,bloco_3,local_3,60,3,69.5,22.7,44.14,3157
controle,bloco_3,local_3,90,1,76.7,31.8,25.9,3316.7
controle,bloco_3,local_3,90,2,69.3,29.7,26.97,3335.2
controle,bloco_3,local_3,90,3,77.8,23.8,21.24,3252.1
controle,bloco_4,local_1,30,1,57.2,27.9,46.9,3179.4
controle,bloco_4,local_1,30,2,89.6,23.3,93.34,3387.4
controle,bloco_4,local_1,30,3,73.5,21.5,69.6,3248.5
controle,bloco_4,local_1,60,1,63.8,24.6,30.74,2994.5
controle,bloco_4,local_1,60,2,62.8,26.1,25,3349.7
controle,bloco_4,local_1,60,3,81.9,28.6,68.97,3140.4
controle,bloco_4,local_1,90,1,75.7,31.4,46.33,3191.9
controle,bloco_4,local_1,90,2,59.6,29.5,33.16,3125.6
controle,bloco_4,local_1,90,3,81.3,27.5,40.28,3307.9
controle,bloco_4,local_2,30,1,78.4,18.2,70.19,3265.2
controle,bloco_4,local_2,30,2,68.4,23.9,34.91,3428.7
controle,bloco_4,local_2,30,3,56.7,19.4,54.63,3247.7
controle,bloco_4,local_2,60,1,60.6,26.6,45.95,3022.3
controle,bloco_4,local_2,60,2,65,31.6,38.31,3178
controle,bloco_4,local_2,60,3,56.1,31.5,58.9,3261
controle,bloco_4,local_2,90,1,88.8,22.1,38.24,3095.4
controle,bloco_4,local_2,90,2,68.7,18.2,26.81,3377.4
controle,bloco_4,local_2,90,3,55.2,18.7,50.71,3252
controle,bloco_4,local_3,30,1,70.9,24.5,43.14,3138.8
controle,bloco_4,local_3,30,2,64,23.7,57.22,3167.5
controle,bloco_4,local_3,30,3,73.2,21.7,60.98,3227.9
controle,bloco_4,local_3,60,1,69.7,21.5,37.17,3089.7
controle,bloco_4,local_3,60,2,57.9,25.2,11.92,3190.9
controle,bloco_4,local_3,60,3,59.7,28.1,51.12,3395.5
controle,bloco_4,local_3,90,1,81.5,29.4,37.52,3094.3
controle,bloco_4,local_3,90,2,65.9,26.4,61.42,3239.1
controle,bloco_4,local_3,90,3,79.9,23.2,26.15,3198.5
controle,bloco_5,local_1,30,1,80.3,21.4,54.92,3289.8
controle,bloco_5,local_1,30,2,63.3,24.1,57.93,3173.7
controle,bloco_5,local_1,30,3,68.8,20.8,65.18,3136.4
controle,bloco_5,local_1,60,1,80.2,20,41.1,3272.6
controle,bloco_5,local_1,60,2,80,23.5,59.86,3361.2
controle,bloco_5,local_1,60,3,67.9,21.5,51.42,3261
controle,bloco_5,local_1,90,1,67,25.9,76.73,3081.4
controle,bloco_5,local_1,90,2,70.1,28.9,28.53,3184.8
controle,bloco_5,local_1,90,3,79.7,26.6,26.6,3179.7
controle,bloco_5,local_2,30,1,88.2,23,67.92,3393.7
controle,bloco_5,local_2,30,2,83.2,19.4,72.54,3230.5
controle,bloco_5,local_2,30,3,82.7,22.4,49.26,3229.3
controle,bloco_5,local_2,60,1,58.2,28,18.77,3226
controle,bloco_5,local_2,60,2,88.4,25.1,58.32,3147.1
controle,bloco_5,local_2,60,3,58.6,20.2,40.37,3186.3
controle,bloco_5,local_2,90,1,69.5,20.2,39.65,3343.9
controle,bloco_5,local_2,90,2,74.7,31.2,15.07,3220.7
controle,bloco_5,local_2,90,3,55.9,27.3,16.88,3231.3
controle,bloco_5,local_3,30,1,66.1,29.5,35.86,3155.1
controle,bloco_5,local_3,30,2,59.1,27.6,47.88,3309.7
controle,bloco_5,local_3,30,3,70.2,31.3,63.29,3191.1
controle,bloco_5,local_3,60,1,79.8,31.4,52.74,3135.8
controle,bloco_5,local_3,60,2,61.2,30.1,45.53,3377.6
controle,bloco_5,local_3,60,3,70,31.6,30.62,3229.4
controle,bloco_5,local_3,90,1,59.9,25.8,41.5,3403.3
controle,bloco_5,local_3,90,2,68.9,31,39.9,3265.4
controle,bloco_5,local_3,90,3,63.5,24.6,13.96,3161.7
controle,bloco_6,local_1,30,1,64,30,71.93,3220.8
controle,bloco_6,local_1,30,2,75.6,22.5,37.17,3231
controle,bloco_6,local_1,30,3,65.4,28,26.74,3134
controle,bloco_6,local_1,60,1,89.5,23.3,35.68,3440.7
controle,bloco_6,local_1,60,2,89.7,31.7,51.27,3271.4
controle,bloco_6,local_1,60,3,56.9,19.4,21.65,3169.6
controle,bloco_6,local_1,90,1,59.5,28.2,15.44,3239.2
controle,bloco_6,local_1,90,2,85.6,31.2,24.77,3240.3
controle,bloco_6,local_1,90,3,69.7,18.1,77.65,3480.2
controle,bloco_6,local_2,30,1,72.6,27.2,39.28,3041.5
controle,bloco_6,local_2,30,2,81,25.4,53.43,3347
controle,bloco_6,local_2,30,3,67,32,81.93,3171.2
controle,bloco_6,local_2,60,1,74.4,30.5,71.3,3169.5
controle,bloco_6,local_2,60,2,57,22,63.45,3212.7
controle,bloco_6,local_2,60,3,73,30.5,48.23,3187.9
controle,bloco_6,local_2,90,1,71.3,27.1,46.86,3271.2
controle,bloco_6,local_2,90,2,75.1,30.3,63.95,3268
controle,bloco_6,local_2,90,3,56.7,18.5,52.95,3358.1
controle,bloco_6,local_3,30,1,58.6,30.5,61.75,3372.9
controle,bloco_6,local_3,30,2,63.6,28.5,72.82,3100.5
controle,bloco_6,local_3,30,3,86.3,22.1,54.85,3138.5
controle,bloco_6,local_3,60,1,87.5,19.7,48.97,3245.2
controle,bloco_6,local_3,60,2,70,24.6,63.37,3314.9
controle,bloco_6,local_3,60,3,56,29.6,38.51,3215.7
controle,bloco_6,local_3,90,1,56.9,28.4,16.55,3079.6
controle,bloco_6,local_3,90,2,75.5,18.9,65.87,3186.5
controle,bloco_6,local_3,90,3,75.6,30.7,2.48,3033.7
dose_baixa,bloco_1,local_1,30,1,55.9,23.5,33.49,3287.1
dose_baixa,bloco_1,local_1,30,2,59.1,28.6,66.4,3184.9
dose_baixa,bloco_1,local_1,30,3,82.3,28.6,23.35,3216.9
dose_baixa,bloco_1,local_1,60,1,63.1,23.5,7.75,3401.6
dose_baixa,bloco_1,local_1,60,2,80.8,26.5,27.52,3180.5
dose_baixa,bloco_1,local_1,60,3,63.4,24.6,33.83,3393.5
dose_baixa,bloco_1,local_1,90,1,69.1,26,10.15,3221.3
dose_baixa,bloco_1,local_1,90,2,68.7,21.2,23.71,3526.9
dose_baixa,bloco_1,local_1,90,3,65.1,26.2,16.42,3161.2
dose_baixa,bloco_1,local_2,30,1,67.9,30.8,28.96,3436.5
dose_baixa,bloco_1,local_2,30,2,67.1,25.8,31.72,3271.4
dose_baixa,bloco_1,local_2,30,3,68.1,26.1,75.34,3523.2
dose_baixa,bloco_1,local_2,60,1,71.6,31.9,6.03,3458
dose_baixa,bloco_1,local_2,60,2,69.1,29,9.04,3335.4
dose_baixa,bloco_1,local_2,60,3,87,30.8,44.64,3419.1
dose_baixa,bloco_1,local_2,90,1,87.8,29.2,42.42,3387.7
dose_baixa,bloco_1,local_2,90,2,65.8,21,41.71,3311.3
dose_baixa,bloco_1,local_2,90,3,73.5,28.9,15.46,3344
dose_baixa,bloco_1,local_3,30,1,56.1,20.8,44.66,3285.8
dose_baixa,bloco_1,local_3,30,2,85.4,30.7,39.9,3326.3
dose_baixa,bloco_1,local_3,30,3,72.4,19.5,32.72,3258
dose_baixa,bloco_1,local_3,60,1,66.8,21.8,47.39,3426.3
dose_baixa,bloco_1,local_3,60,2,87.8,20.4,57.2,3287.6
dose_baixa,bloco_1,local_3,60,3,76.6,31.5,41.37,3481.3
dose_baixa,bloco_1,local_3,90,1,70.6,28.9,40.14,3422
dose_baixa,bloco_1,local_3,90,2,76.9,21.6,3.95,3220.5
dose_baixa,bloco_1,local_3,90,3,57.5,21.8,23.37,3498.9
dose_baixa,bloco_2,local_1,30,1,69.7,24.5,49.15,3427.7
dose_baixa,bloco_2,local_1,30,2,77.6,31.5,42.03,3348.4
dose_baixa,bloco_2,local_1,30,3,55.2,31.2,43.11,3451.2
dose_baixa,bloco_2,local_1,60,1,65.6,25.7,65.72,3471.2
dose_baixa,bloco_2,local_1,60,2,82.9,27,51.99,3643.1
dose_baixa,bloco_2,local_1,60,3,79.7,26.2,15.84,3489.9
dose_baixa,bloco_2,local_1,90,1,84.6,30.1,39.92,3516
dose_baixa,bloco_2,local_1,90,2,59.4,32,18.12,3287.9
dose_baixa,bloco_2,local_1,90,3,84.8,19.2,10.54,3248
dose_baixa,bloco_2,local_2,30,1,79.3,19.2,39.74,3346.1
dose_baixa,bloco_2,local_2,30,2,78.6,24.6,76.42,3343.2
dose_baixa,bloco_2,local_2,30,3,76.5,21.8,62.62,3418
dose_baixa,bloco_2,local_2,60,1,76.6,22.9,49.98,3474.5
dose_baixa,bloco_2,local_2,60,2,75.1,28,18.76,3341.3
dose_baixa,bloco_2,local_2,60,3,57.1,27.2,35.14,3409.5
dose_baixa,bloco_2,local_2,90,1,71.2,27,2.48,3377.8
dose_baixa,bloco_2,local_2,90,2,85,23.7,22.68,3331.2
dose_baixa,bloco_2,local_2,90,3,69.4,26,27.1,3340.2
dose_baixa,bloco_2,local_3,30,1,56.7,29.4,54.24,3251.8
dose_baixa,bloco_2,local_3,30,2,84.1,22.4,53.64,3560.2
dose_baixa,bloco_2,local_3,30,3,87.2,27,41.99,3320.9
dose_baixa,bloco_2,local_3,60,1,58.6,21.5,16.59,3550.4
dose_baixa,bloco_2,local_3,60,2,55.8,18.9,39.55,3488.9
dose_baixa,bloco_2,local_3,60,3,60.3,25.4,38.84,3259
dose_baixa,bloco_2,local_3,90,1,83.8,24.7,20.35,3577.5
dose_baixa,bloco_2,local_3,90,2,84,26.5,66.17,3462.5
dose_baixa,bloco_2,local_3,90,3,87.1,30.7,26.72,3411
dose_baixa,bloco_3,local_1,30,1,71.7,23.2,48.9,3451.4
dose_baixa,bloco_3,local_1,30,2,58.2,26.1,54.19,3240.6
dose_baixa,bloco_3,local_1,30,3,70.1,24.3,71.19,3457.5
dose_baixa,bloco_3,local_1,60,1,76.3,29.8,21.96,3478.3
dose_baixa,bloco_3,local_1,60,2,66.5,21.9,51.45,3446.1
dose_baixa,bloco_3,local_1,60,3,67.1,30.1,21.96,3611.6
dose_baixa,bloco_3,local_1,90,1,71.3,28.8,58.26,3353.6
dose_baixa,bloco_3,local_1,90,2,57.9,31.7,32.79,3393.3
dose_baixa,bloco_3,local_1,90,3,72.1,21.4,9.51,3389.1
dose_baixa,bloco_3,local_2,30,1,59.7,26.7,41.81,3407
dose_baixa,bloco_3,local_2,30,2,71.6,30.8,54.02,3297.1
dose_baixa,bloco_3,local_2,30,3,68.6,24.5,18.81,3292.9
dose_baixa,bloco_3,local_2,60,1,83.9,28.7,42.52,3432
dose_baixa,bloco_3,local_2,60,2,78,21.6,63.44,3317.8
dose_baixa,bloco_3,local_2,60,3,55.3,29,16.44,3233
dose_baixa,bloco_3,local_2,90,1,89.8,25.4,16.39,3498
dose_baixa,bloco_3,local_2,90,2,77.9,26.4,20.73,3421.6
dose_baixa,bloco_3,local_2,90,3,79,25.5,19.51,3492.8
dose_baixa,bloco_3,local_3,30,1,59.6,25.2,39.47,3420.2
dose_baixa,bloco_3,local_3,30,2,89.4,25.1,34.06,3434.1
dose_baixa,bloco_3,local_3,30,3,82.7,29.9,16.91,3289.9
dose_baixa,bloco_3,local_3,60,1,68.5,20.3,54.93,3356
dose_baixa,bloco_3,local_3,60,2,75.9,23.8,42.49,3394.4
dose_baixa,bloco_3,local_3,60,3,65.8,27.3,59.52,3427.4
dose_baixa,bloco_3,local_3,90,1,83.3,27.2,46.96,3440.5
dose_baixa,bloco_3,local_3,90,2,63.9,19.9,22.92,3424.4
dose_baixa,bloco_3,local_3,90,3,82.7,31.1,47.06,3393.7
dose_baixa,bloco_4,local_1,30,1,64.8,29.3,38.23,3306.1
dose_baixa,bloco_4,local_1,30,2,86.2,22.1,89.52,3335.8
dose_baixa,bloco_4,local_1,30,3,56.6,23.8,35.61,3350.7
dose_baixa,bloco_4,local_1,60,1,70,26.5,73.29,3446.4
dose_baixa,bloco_4,local_1,60,2,69,29.2,76.55,3473.2
dose_baixa,bloco_4,local_1,60,3,63.4,23.6,29.61,3555.1
dose_baixa,bloco_4,local_1,90,1,78,23.2,16.18,3601.8
dose_baixa,bloco_4,local_1,90,2,77.2,28.9,28.06,3309.1
dose_baixa,bloco_4,local_1,90,3,62.5,25.2,24.27,3316.2
dose_baixa,bloco_4,local_2,30,1,60.3,28.2,38.04,3558.3
dose_baixa,bloco_4,local_2,30,2,56,31,54.97,3434.3
dose_baixa,bloco_4,local_2,30,3,59.7,27.3,1.5,3194.8
dose_baixa,bloco_4,local_2,60,1,79.9,19.2,15.81,3375.6
dose_baixa,bloco_4,local_2,60,2,73.2,23.4,46.36,3391.7
dose_baixa,bloco_4,local_2,60,3,82.7,18.9,43.05,3342.1
dose_baixa,bloco_4,local_2,90,1,82.3,21.8,2.23,3322.8
dose_baixa,bloco_4,local_2,90,2,68.6,27.8,10.99,3276.1
dose_baixa,bloco_4,local_2,90,3,73.9,20.1,18.84,3551
dose_baixa,bloco_4,local_3,30,1,69.7,25.7,47.19,3328.2
dose_baixa,bloco_4,local_3,30,2,79.4,18.2,70.46,3289.6
dose_baixa,bloco_4,local_3,30,3,83.1,30.8,27.5,3162.7
dose_baixa,bloco_4,local_3,60,1,87.6,19.9,52.02,3403.6
dose_baixa,bloco_4,local_3,60,2,80.2,19.3,62.49,3338
dose_baixa,bloco_4,local_3,60,3,89.6,28.1,9.95,3330.9
dose_baixa,bloco_4,local_3,90,1,80.5,23.2,12.74,3364.6
dose_baixa,bloco_4,local_3,90,2,69.2,24.7,59.58,3488.7
dose_baixa,bloco_4,local_3,90,3,80.6,27.6,29.81,3342.6
dose_baixa,bloco_5,local_1,30,1,81.2,21.8,26.39,3382.1
dose_baixa,bloco_5,local_1,30,2,81.3,21.2,35.38,3334.4
dose_baixa,bloco_5,local_1,30,3,81.3,21.9,16.03,3243
dose_baixa,bloco_5,local_1,60,1,86.2,27.9,30.93,3458.9
dose_baixa,bloco_5,local_1,60,2,79.6,31.6,11.12,3329.4
dose_baixa,bloco_5,local_1,60,3,56.7,25.7,20.81,3472.9
dose_baixa,bloco_5,local_1,90,1,74.6,29.5,10.37,3430.9
dose_baixa,bloco_5,local_1,90,2,74.2,18.9,15.67,3349.2
dose_baixa,bloco_5,local_1,90,3,70.9,25,6.11,3266
dose_baixa,bloco_5,local_2,30,1,73.3,27.9,68.39,3250.2
dose_baixa,bloco_5,local_2,30,2,55.7,20,51.07,3536.4
dose_baixa,bloco_5,local_2,30,3,62.2,27.4,18.02,3425.5
dose_baixa,bloco_5,local_2,60,1,73.4,21.7,40.21,3352.5
dose_baixa,bloco_5,local_2,60,2,86.7,22.8,59.96,3416.9
dose_baixa,bloco_5,local_2,60,3,73.8,28.9,45.1,3399.3
dose_baixa,bloco_5,local_2,90,1,63.5,24.6,39.84,3393.3
dose_baixa,bloco_5,local_2,90,2,59.2,19.5,39.1,3537.1
dose_baixa,bloco_5,local_2,90,3,61.7,19.7,20.23,3448.5
dose_baixa,bloco_5,local_3,30,1,66.7,24.5,41.77,3317.3
dose_baixa,bloco_5,local_3,30,2,77.8,18.5,28.72,3228
dose_baixa,bloco_5,local_3,30,3,74.9,29.3,69.34,3453.6
dose_baixa,bloco_5,local_3,60,1,64.2,19.4,45.47,3400.7
dose_baixa,bloco_5,local_3,60,2,67.1,31.8,14.86,3325
dose_baixa,bloco_5,local_3,60,3,59.6,24.1,73.03,3232
dose_baixa,bloco_5,local_3,90,1,85.1,18.3,4.95,3377.3
dose_baixa,bloco_5,local_3,90,2,59.6,28.2,19.07,3446.5
dose_baixa,bloco_5,local_3,90,3,77.6,31.9,6.5,3425
dose_baixa,bloco_6,local_1,30,1,63.4,18.5,47.72,3461.8
dose_baixa,bloco_6,local_1,30,2,63,24,62.18,3417.5
dose_baixa,bloco_6,local_1,30,3,69.2,27.4,42.83,3456.5
dose_baixa,bloco_6,local_1,60,1,61.6,24.2,31.17,3331.2
dose_baixa,bloco_6,local_1,60,2,62.6,21.8,55.43,3486.5
dose_baixa,bloco_6,local_1,60,3,88.1,29.8,46.66,3409.2
dose_baixa,bloco_6,local_1,90,1,81,22.8,8.79,3298.9
dose_baixa,bloco_6,local_1,90,2,63.9,19.7,49.88,3490
dose_baixa,bloco_6,local_1,90,3,87.6,29.4,17.67,3430.7
dose_baixa,bloco_6,local_2,30,1,82.1,30.3,24.02,3086.1
dose_baixa,bloco_6,local_2,30,2,70.2,20.1,49.14,3373.9
dose_baixa,bloco_6,local_2,30,3,80.1,24.3,62.13,3418.2
dose_baixa,bloco_6,local_2,60,1,72.4,18.3,25.35,3313.9
dose_baixa,bloco_6,local_2,60,2,70.4,28,32.48,3133.6
dose_baixa,bloco_6,local_2,60,3,79.5,26.8,75.23,3408.4
dose_baixa,bloco_6,local_2,90,1,68.3,26.3,29.3,3458.3
dose_baixa,bloco_6,local_2,90,2,61.2,19.3,64.28,3348.2
dose_baixa,bloco_6,local_2,90,3,57.5,22.5,50.04,3410.4
dose_baixa,bloco_6,local_3,30,1,58.8,21,42.11,3316.4
dose_baixa,bloco_6,local_3,30,2,75.2,19.9,39.03,3309.3
dose_baixa,bloco_6,local_3,30,3,73.5,26.6,53.91,3527.4
dose_baixa,bloco_6,local_3,60,1,60.8,26.8,1.98,3494.3
dose_baixa,bloco_6,local_3,60,2,57,30.8,63.36,3377.2
dose_baixa,bloco_6,local_3,60,3,77.4,20.3,23.39,3464.9
dose_baixa,bloco_6,local_3,90,1,77.7,23,5.02,3255.2
dose_baixa,bloco_6,local_3,90,2,76.8,26.4,30.65,3464.5
dose_baixa,bloco_6,local_3,90,3,72.8,30,17.07,3493.2
dose_media,bloco_1,local_1,30,1,82.9,30.1,38.99,3492.1
dose_media,bloco_1,local_1,30,2,84.8,28.1,75.91,3492.6
dose_media,bloco_1,local_1,30,3,60.1,29.5,22.39,3467
dose_media,bloco_1,local_1,60,1,85.9,30.5,13.08,3639.7
dose_media,bloco_1,local_1,60,2,55.3,30.2,0.32,3593
dose_media,bloco_1,local_1,60,3,60.9,19.9,5.74,3635.5
dose_media,bloco_1,local_1,90,1,70.3,23.6,17.03,3525.9
dose_media,bloco_1,local_1,90,2,88.2,20.9,28.6,3583
dose_media,bloco_1,local_1,90,3,84.2,23.4,34.44,3544.9
dose_media,bloco_1,local_2,30,1,89.4,27.8,42.34,3563.1
dose_media,bloco_1,local_2,30,2,78.4,23.7,23.27,3503.5
dose_media,bloco_1,local_2,30,3,69.4,18.2,22.59,3516.6
dose_media,bloco_1,local_2,60,1,62,24.4,66.87,3738.5
dose_media,bloco_1,local_2,60,2,76.7,24.8,33.59,3587.5
dose_media,bloco_1,local_2,60,3,58.1,23.1,21.29,3574.4
dose_media,bloco_1,local_2,90,1,60.6,25.8,11.12,3497.9
dose_media,bloco_1,local_2,90,2,67.7,28,1.56,3578.4
dose_media,bloco_1,local_2,90,3,87,19.1,26.77,3576.9
dose_media,bloco_1,local_3,30,1,74.6,23.3,15.84,3597.7
dose_media,bloco_1,local_3,30,2,87.5,21.2,20.18,3504.7
dose_media,bloco_1,local_3,30,3,85,18.1,25.94,3583.4
dose_media,bloco_1,local_3,60,1,69.2,22.6,32.45,3619.6
dose_media,bloco_1,local_3,60,2,82.9,25.4,19.31,3520.8
dose_media,bloco_1,local_3,60,3,74.1,20.6,50.55,3700.5
dose_media,bloco_1,local_3,90,1,70.5,27.1,10.53,3690.4
dose_media,bloco_1,local_3,90,2,75.6,28.8,17.17,3619.7
dose_media,bloco_1,local_3,90,3,84.4,29.6,19.02,3661.9
dose_media,bloco_2,local_1,30,1,58,28.4,21.85,3455.3
dose_media,bloco_2,local_1,30,2,60.9,28.7,18.68,3565.9
dose_media,bloco_2,local_1,30,3,66.4,28.8,15.42,3556.8
dose_media,bloco_2,local_1,60,1,83.2,24.4,20.52,3703.6
dose_media,bloco_2,local_1,60,2,64.7,23.7,8.14,3534.1
dose_media,bloco_2,local_1,60,3,64.1,22.8,29.31,3564.9
dose_media,bloco_2,local_1,90,1,64.1,28.1,3.48,3623.1
dose_media,bloco_2,local_1,90,2,82.5,24.3,9.43,3530.6
dose_media,bloco_2,local_1,90,3,57.2,27.7,40.27,3597.1
dose_media,bloco_2,local_2,30,1,60.1,20.1,22.37,3544.3
dose_media,bloco_2,local_2,30,2,60,19.2,63.45,3650.6
dose_media,bloco_2,local_2,30,3,76.4,20.9,14,3586.2
dose_media,bloco_2,local_2,60,1,58.7,26.2,28.52,3671.5
dose_media,bloco_2,local_2,60,2,84.7,31.8,23.21,3546.6
dose_media,bloco_2,local_2,60,3,65.5,30,2.55,3471.6
dose_media,bloco_2,local_2,90,1,65.1,24.7,13.24,3625.5
dose_media,bloco_2,local_2,90,2,79.4,31.7,14.13,3571
dose_media,bloco_2,local_2,90,3,74.5,20.2,15.35,3634
dose_media,bloco_2,local_3,30,1,63.3,21.5,41.29,3626.6
dose_media,bloco_2,local_3,30,2,56,24.4,36.09,3555.4
dose_media,bloco_2,local_3,30,3,70.1,31,7.91,3476.7
dose_media,bloco_2,local_3,60,1,80.8,24.5,37.34,3493
dose_media,bloco_2,local_3,60,2,79.9,26.6,25.82,3751.1
dose_media,bloco_2,local_3,60,3,87.5,30.9,19.48,3518.9
dose_media,bloco_2,local_3,90,1,74.2,25.8,1.7,3417.7
dose_media,bloco_2,local_3,90,2,79,24.9,4.94,3623
dose_media,bloco_2,local_3,90,3,81.3,27.1,25.27,3479.2
dose_media,bloco_3,local_1,30,1,85.1,25.3,13.4,3349.1
dose_media,bloco_3,local_1,30,2,87.9,21,40.17,3419
dose_media,bloco_3,local_1,30,3,65.9,28.4,15.21,3446.1
dose_media,bloco_3,local_1,60,1,55.3,27.5,17.2,3488.8
dose_media,bloco_3,local_1,60,2,73.9,23.8,33.31,3642.3
dose_media,bloco_3,local_1,60,3,66,18.4,22.87,3870.1
dose_media,bloco_3,local_1,90,1,56.6,20,19.99,3545.5
dose_media,bloco_3,local_1,90,2,75.6,19.1,0.3,3393.2
dose_media,bloco_3,local_1,90,3,66,22.5,9.94,3511.8
dose_media,bloco_3,local_2,30,1,58.8,30,9.48,3522.6
dose_media,bloco_3,local_2,30,2,87.7,23.5,25.09,3355.4
dose_media,bloco_3,local_2,30,3,86.6,26.4,61.34,3288.9
dose_media,bloco_3,local_2,60,1,78.1,19,6.44,3406.6
dose_media,bloco_3,local_2,60,2,82.9,23.9,12.99,3669.5
dose_media,bloco_3,local_2,60,3,84.5,21.3,16.76,3596.2
